earnings,earnings.top,male,over65,white,immig,educ_r,workmos,workhrs.top,any.ssi,any.welfare,any.charity
84,84,1,0,1,1,4,12,40,0,0,0
NA,NA,0,0,0,1,4,12,40,0,0,0
27.5,27.5,1,0,0,1,2,10,40,0,0,0
85,85,1,1,1,0,4,11,8,0,0,0
135,100,1,0,0,0,4,12,40,0,0,0
0,0,0,0,0,0,4,0,40,0,0,0
92,92,0,0,1,0,4,12,40,0,0,0
0,0,0,1,0,0,2,0,0,0,0,0
35,35,0,0,1,0,4,7,40,0,0,0
27,27,1,0,0,0,3,12,32,0,0,0
0,0,1,1,0,0,1,0,0,0,0,0
14.4,14.4,1,0,1,0,4,8,30,0,0,0
NA,NA,0,0,0,1,4,12,35,0,0,0
5,5,0,0,1,0,2,4,5,0,0,0
12.2,12.2,1,0,0,0,2,6,40,0,0,0
25,25,1,0,0,1,3,12,40,0,0,0
80,80,1,0,1,0,2,12,40,0,0,0
250,100,1,0,1,1,2.5,12,40,0,0,0
12,12,0,0,1,1,2,12,20,0,0,0
2,2,0,0,0,1,2,6,8,0,0,1
64,64,0,0,1,0,4,12,30,0,0,0
15,15,1,0,0,0,2,12,40,0,0,0
40,40,0,0,0,0,4,8,40,0,0,0
11.6,11.6,0,0,0,0,2,10,40,0,1,0
21,21,0,0,0,1,2,12,40,0,0,0
71,71,0,0,0,1,3,12,40,0,0,0
200,100,1,0,0,0,3,12,40,0,0,0
26.88,26.88,1,0,0,1,3,12,40,0,0,0
57.5,57.5,1,0,0,0,2,12,40,0,0,0
0,0,0,0,0,0,1,0,40,0,0,0
0,0,0,0,0,1,1,0,0,1,0,0
9.6,9.6,0,0,0,1,1,12,39,0,0,0
NA,NA,0,0,0,0,1,8,40,1,0,0
39,39,0,0,0,0,3,12,40,0,0,0
80,80,1,0,1,0,4,12,40,0,0,0
2.4,2.4,1,0,0,1,1,3,5,0,0,0
110,100,0,0,1,0,3,12,40,0,0,0
12,12,0,0,0,1,4,12,20,1,0,0
0,0,0,1,0,0,1,0,0,0,0,0
55,55,1,0,0,0,3,12,35,0,0,0
0,0,0,1,1,0,4,0,0,0,0,0
0,0,1,0,0,1,2,0,0,0,0,0
6.5,6.5,1,0,1,0,3,12,12,0,0,0
0,0,0,1,1,0,2,0,0,0,0,0
34,34,0,0,1,0,3,12,40,1,0,0
37.5,37.5,1,0,0,0,1,12,40,0,0,0
130,100,0,0,0,0,4,12,35,0,0,0
NA,NA,0,0,0,0,4,12,40,0,0,0
0.66,0.66,0,0,0,0,2,3,40,0,1,0
132,100,0,0,1,0,4,12,40,0,0,0
0,0,0,0,0,1,2,0,0,1,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
NA,NA,1,0,1,0,1,11,40,0,0,0
76.5,76.5,1,0,1,0,3,10,40,0,0,0
0,0,0,1,0,0,3,0,0,0,0,0
60,60,1,0,1,0,4,12,40,0,0,0
0,0,1,1,0,0,4,0,0,0,0,0
NA,NA,0,0,1,0,4,12,20,0,0,0
40,40,0,0,1,0,4,12,40,0,0,0
NA,NA,0,0,1,0,4,12,40,0,0,0
40,40,0,0,0,0,4,12,40,0,0,0
NA,NA,0,0,0,0,2,11,40,0,0,0
6,6,1,0,1,0,4,4,20,0,0,0
NA,NA,0,0,0,0,4,5,3,0,0,0
40,40,1,0,0,1,3,12,40,0,0,0
0,0,0,0,0,1,3,0,0,0,0,0
NA,NA,1,0,0,1,3,11,40,0,0,0
5.6,5.6,0,0,1,0,4,12,30,0,0,0
60,60,0,0,0,0,4,12,40,0,0,1
20,20,1,0,0,0,3,9,30,0,0,0
98,98,0,0,1,1,4,12,40,0,0,0
100,100,0,0,0,0,3,12,40,0,0,0
60,60,1,0,0,0,4,12,40,0,0,0
0,0,1,0,0,0,1,0,0,0,0,0
35,35,1,0,1,0,4,12,35,0,0,0
0,0,0,0,0,1,4,0,0,0,0,0
0,0,0,1,1,0,3,0,0,0,0,0
30,30,0,0,0,1,3,12,40,0,0,0
0,0,0,1,1,1,4,0,0,0,0,0
NA,NA,1,0,0,0,2,8,40,0,0,0
0,0,0,1,0,1,2,0,0,0,0,0
50,50,0,0,1,1,3,12,40,0,0,0
40,40,1,0,0,1,2,12,40,0,0,0
0,0,1,0,1,1,4,0,0,0,0,0
70,70,1,0,0,1,4,10,40,0,0,0
10.4,10.4,1,0,0,1,4,12,40,0,0,1
15,15,1,0,0,0,2,12,25,0,0,0
80,80,0,0,0,0,4,10,35,0,0,0
14,14,0,0,0,0,4,11,40,0,0,0
87,87,1,0,0,1,4,12,40,0,0,0
NA,NA,1,0,0,0,3,9,40,0,0,0
135,100,0,0,1,0,2,12,40,0,0,0
NA,NA,0,0,0,0,2,12,40,0,0,0
3,3,1,0,1,0,3,1,6,0,0,0
0,0,1,0,0,1,1,0,0,0,0,0
0,0,0,0,1,1,4,0,0,0,0,0
0,0,1,1,0,1,2,0,0,0,0,0
42,42,1,0,0,1,4,12,35,0,0,0
28,28,0,0,0,0,4,12,40,0,0,0
NA,NA,0,0,0,1,2,9,40,0,0,0
